iter	Passed	Remaining
483	594	634
484	595	632
485	596	631
486	597	629
487	598	627
488	599	626
489	600	624
490	601	623
491	602	622
492	603	620
493	604	619
494	605	617
495	606	615
496	606	614
497	607	612
498	608	611
499	609	609
500	611	608
501	612	607
502	613	606
503	614	604
504	615	603
505	616	601
506	617	600
507	618	598
508	619	597
509	620	596
510	621	594
511	622	593
512	623	592
513	624	590
514	625	588
515	626	587
516	627	585
517	628	584
518	629	583
519	630	581
520	631	580
521	632	579
522	633	577
523	634	576
524	635	574
525	636	573
526	637	571
527	637	570
528	638	568
529	639	567
530	640	565
531	641	564
532	642	562
533	643	561
534	644	559
535	645	558
536	646	557
537	647	556
538	648	554
539	649	553
540	650	552
541	651	550
542	652	549
543	653	547
544	654	546
545	655	544
546	656	543
547	657	542
548	658	540
549	659	539
550	660	538
551	661	536
552	662	535
553	663	534
554	664	532
555	665	531
556	666	529
557	667	528
558	667	526
559	668	525
560	669	523
561	670	522
562	671	521
563	672	519
564	673	518
565	674	517
566	676	516
567	677	515
568	678	513
569	679	512
570	680	511
571	681	509
572	682	508
573	682	506
574	683	505
575	684	504
576	685	502
577	686	501
578	687	499
579	688	498
580	689	497
581	690	496
582	691	494
583	692	493
584	693	492
585	694	490
586	695	489
587	696	488
588	697	486
589	698	485
590	699	484
591	700	482
592	701	481
593	702	480
594	703	478
595	704	477
596	705	476
597	706	475
598	707	473
599	708	472
600	709	471
601	710	469
602	711	468
603	712	467
604	713	465
605	714	464
606	715	463
607	716	461
608	717	460
609	718	459
610	720	458
611	721	457
612	723	456
613	724	455
614	725	454
615	726	453
616	727	451
617	728	450
618	729	449
619	730	447
620	731	446
621	732	444
622	733	443
623	734	442
624	735	441
625	736	440
626	737	438
627	738	437
628	739	436
629	740	434
630	741	433
631	742	432
632	743	431
633	744	429
634	745	428
635	746	427
636	747	426
637	748	424
638	749	423
639	750	422
640	751	421
641	752	419
642	753	418
643	754	417
644	755	415
645	756	414
646	757	413
647	758	411
648	759	410
649	760	409
650	761	408
651	762	407
652	763	405
653	764	404
654	765	403
655	766	402
656	767	400
657	768	399
658	769	398
659	770	396
660	771	395
661	772	394
662	773	393
663	774	391
664	775	390
665	777	389
666	779	389
667	780	387
668	781	386
669	782	385
670	783	383
671	784	382
672	785	381
673	786	380
674	787	378
675	787	377
676	788	376
677	789	375
678	790	373
679	792	372
680	793	371
681	794	370
682	795	369
683	796	367
684	797	366
685	797	365
686	798	364
687	799	362
688	800	361
689	801	360
690	802	358
691	803	357
692	805	356
693	806	355
694	807	354
695	808	353
696	809	351
697	810	350
698	811	349
699	812	348
700	813	346
701	814	345
702	815	344
703	816	343
704	817	341
705	818	340
706	818	339
707	819	338
708	821	336
709	822	335
710	823	334
711	823	333
712	824	332
713	825	330
714	826	329
715	827	328
716	828	327
717	829	325
718	830	324
719	831	323
720	832	322
721	833	320
722	834	319
723	835	318
724	836	317
725	837	316
726	838	314
727	839	313
728	840	312
729	841	311
730	842	309
731	843	308
732	844	307
733	845	306
734	846	305
735	847	304
736	848	302
737	849	301
738	850	300
739	852	299
740	853	298
741	854	296
742	855	295
743	856	294
744	857	293
745	858	292
746	859	291
747	860	289
748	861	288
749	862	287
750	863	286
751	863	284
752	864	283
753	866	282
754	866	281
755	868	280
756	868	278
757	869	277
758	870	276
759	871	275
760	872	274
761	873	272
762	874	271
763	875	270
764	876	269
765	877	267
766	877	266
767	878	265
768	880	264
769	881	263
770	882	262
771	883	260
772	884	259
773	885	258
774	885	257
775	887	256
776	887	254
777	888	253
778	889	252
779	890	251
780	891	250
781	892	248
782	893	247
783	894	246
784	895	245
785	896	244
786	897	242
787	898	241
788	899	240
789	900	239
790	901	238
791	902	236
792	903	235
793	904	234
794	905	233
795	906	232
796	907	231
797	908	229
798	909	228
799	910	227
800	911	226
801	912	225
802	912	223
803	914	222
804	914	221
805	915	220
806	916	219
807	917	218
808	918	216
809	919	215
810	920	214
811	921	213
812	922	212
813	923	211
814	924	209
815	925	208
816	926	207
817	927	206
818	928	205
819	929	203
820	930	202
821	931	201
822	932	200
823	933	199
824	935	198
825	936	197
826	937	196
827	938	194
828	940	193
829	941	192
830	942	191
831	943	190
832	943	189
833	944	188
834	945	186
835	946	185
836	947	184
837	948	183
838	949	182
839	950	181
840	951	179
841	952	178
842	953	177
843	955	176
844	956	175
845	957	174
846	958	173
847	959	171
848	960	170
849	961	169
850	962	168
851	963	167
852	964	166
853	965	165
854	966	163
855	967	162
856	968	161
857	969	160
858	970	159
859	971	158
860	972	157
861	973	155
862	974	154
863	975	153
864	976	152
865	977	151
866	978	150
867	979	148
868	979	147
869	980	146
870	982	145
871	983	144
872	984	143
873	986	142
874	986	140
875	987	139
876	988	138
877	989	137
878	990	136
879	991	135
880	993	134
881	994	132
882	994	131
883	995	130
884	997	129
885	999	128
886	1000	127
887	1001	126
888	1002	125
889	1003	124
890	1004	122
891	1005	121
892	1006	120
893	1007	119
894	1008	118
895	1009	117
896	1010	116
897	1011	114
898	1013	113
899	1014	112
900	1015	111
901	1016	110
902	1017	109
903	1018	108
904	1018	106
905	1019	105
906	1020	104
907	1021	103
908	1022	102
909	1023	101
910	1024	100
911	1025	98
912	1026	97
913	1028	96
